epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,23306,0.90361,0.62477,1.22835,0.87036,0.77699,0.86654,0.60668,1.12577,0.73665,1.4786,0.00641125,0.00641125,0.00641125
147,23343.3,0.89812,0.60589,1.21924,0.83201,0.8092,0.85285,0.59438,1.11477,0.76831,1.48029,0.0063865,0.0063865,0.0063865
148,23380.6,0.88972,0.61627,1.21318,0.85853,0.78164,0.86604,0.60402,1.10135,0.7303,1.46126,0.00636175,0.00636175,0.00636175
149,23417.9,0.89846,0.614,1.20865,0.85941,0.766,0.85303,0.59621,1.12022,0.75914,1.47992,0.006337,0.006337,0.006337
150,23455.2,0.884,0.61605,1.21243,0.8661,0.78125,0.86449,0.60238,1.11672,0.73579,1.48469,0.00631225,0.00631225,0.00631225
151,23492.3,0.89225,0.59752,1.21083,0.8609,0.7677,0.86106,0.5955,1.12493,0.75168,1.48326,0.0062875,0.0062875,0.0062875
152,23529.4,0.88512,0.5987,1.2093,0.87724,0.77373,0.85933,0.59466,1.1272,0.74931,1.4891,0.00626275,0.00626275,0.00626275
153,23566.6,0.87976,0.59727,1.20231,0.85735,0.78243,0.85346,0.59535,1.1241,0.79515,1.48915,0.006238,0.006238,0.006238
154,23603.7,0.88789,0.59036,1.2089,0.85703,0.7925,0.85888,0.59723,1.10568,0.74086,1.4847,0.00621325,0.00621325,0.00621325
155,23641.3,0.87053,0.59311,1.19396,0.84385,0.80022,0.86624,0.59921,1.08718,0.7351,1.45366,0.0061885,0.0061885,0.0061885
156,23678.5,0.88174,0.60531,1.20802,0.88303,0.7837,0.87394,0.60926,1.10541,0.71222,1.47076,0.00616375,0.00616375,0.00616375
157,23715.7,0.87104,0.59701,1.20776,0.81808,0.81453,0.8609,0.59717,1.11671,0.75429,1.49627,0.006139,0.006139,0.006139
158,23753,0.87978,0.60439,1.21271,0.87656,0.76391,0.85639,0.59233,1.12269,0.76978,1.468,0.00611425,0.00611425,0.00611425
159,23790.1,0.87044,0.58946,1.20489,0.82754,0.7998,0.86411,0.60805,1.09927,0.75312,1.47939,0.0060895,0.0060895,0.0060895
160,23827.3,0.86554,0.58964,1.19966,0.87575,0.76846,0.87082,0.60417,1.11167,0.74514,1.48335,0.00606475,0.00606475,0.00606475
161,23864.7,0.87787,0.59325,1.19982,0.83061,0.80281,0.86081,0.59713,1.10308,0.75142,1.46285,0.00604,0.00604,0.00604
162,23902,0.86124,0.58516,1.19275,0.84722,0.79317,0.86609,0.60497,1.11248,0.75623,1.48727,0.00601525,0.00601525,0.00601525
163,23939.4,0.87426,0.5927,1.20032,0.84141,0.79443,0.8688,0.60459,1.12056,0.74459,1.49318,0.0059905,0.0059905,0.0059905
164,23976.6,0.88441,0.60282,1.2004,0.86207,0.80745,0.88029,0.61628,1.08983,0.71891,1.45348,0.00596575,0.00596575,0.00596575
165,24013.8,0.85676,0.57861,1.18631,0.88738,0.75952,0.8668,0.61265,1.09627,0.73615,1.46278,0.005941,0.005941,0.005941
166,24051.2,0.86786,0.5812,1.19411,0.86104,0.7929,0.86996,0.61126,1.10671,0.73063,1.4745,0.00591625,0.00591625,0.00591625
